REPORT_NUMBER,SUPPLEMENTAL_NUMBER,IYEAR,LOCAL_DATETIME,OPERATOR_ID,NAME,PIPE_FAC_NAME,ON_OFF_SHORE,ONSHORE_STATE_ABBREVIATION,ONSHORE_CITY_NAME,ONSHORE_COUNTY_NAME,LOCATION_LATITUDE,LOCATION_LONGITUDE,LOCATION_TYPE,INCIDENT_AREA_TYPE,INCIDENT_AREA_SUBTYPE,DEPTH_OF_COVER,SYSTEM_PART_INVOLVED,COULD_BE_HCA,COMMODITY_REACHED_HCA,CAUSE,CAUSE_DETAILS,COMMODITY_RELEASED_TYPE,COMMODITY_SUBTYPE,COMMODITY_DETAILS,UNINTENTIONAL_RELEASE_BBLS,INTENTIONAL_RELEASE_BBLS,RECOVERED_BBLS,PIPE_DIAMETER,PIPE_WALL_THICKNESS,PIPE_SMYS,PIPE_SPECIFICATION,INSTALLATION_YEAR,MATERIAL_INVOLVED,MATERIAL_DETAILS,RELEASE_TYPE,IGNITE_IND,EXPLODE_IND,SHUTDOWN_DUE_ACCIDENT_IND,SHUTDOWN_DATETIME,STILL_SHUTDOWN_IND,RESTART_DATETIME,NUM_PUB_EVACUATED,INJURY_IND,NUM_EMP_INJURIES,NUM_CONTR_INJURIES,NUM_ER_INJURIES,NUM_WORKER_INJURIES,NUM_GP_INJURIES,INJURE,FATALITY_IND,NUM_EMP_FATALITIES,NUM_CONTR_FATALITIES,NUM_ER_FATALITIES,NUM_WORKER_FATALITIES,NUM_GP_FATALITIES,FATAL,WILDLIFE_IMPACT_IND,FISH_AQUATIC_IMPACT_IND,BIRDS_IMPACT_IND,TERRESTRIAL_IMPACT_IND,SOIL_CONTAMINATION,LONG_TERM_ASSESSMENT,REMEDIATION_IND,SURFACE_WATER_REMED_IND,GROUNDWATER_REMED_IND,SOIL_REMED_IND,VEGETATION_REMED_IND,WILDLIFE_REMED_IND,WATER_CONTAM_IND,OCEAN_SEAWATER_IND,SURFACE_CONTAM_IND,GROUNDWATER_CONTAM_IND,DRINKING_WATER_CONTAM_IND,PRIVATE_WELL_CONTAM_IND,PUBLIC_WATER_CONTAM_IND,EST_COST_OPER_PAID,EST_COST_GAS_RELEASED,EST_COST_PROP_DAMAGE,EST_COST_EMERGENCY,EST_COST_ENVIRONMENTAL,EST_COST_OTHER,INCIDENT_IDENTIFIED_DATETIME,ON_SITE_DATETIME
20230109,38100,2023,4/26/2023 16:30,15786,PORTLAND PIPE LINE CORPORATION,24-INCH LINE,ONSHORE,NH,SHELBURNE,COOS,44.39767,-71.11766,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,UNDERGROUND,UNDER SOIL,80,ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,NO,NO,CORROSION FAILURE,INTERNAL CORROSION,CRUDE OIL,,,110,NA,75,24,0.375,52000,ASA STD B16.9,1968,CARBON STEEL,,LEAK,YES,,NO,,,,0,YES,1,1,1,NA,NA,3,NO,NA,NA,NA,NA,NA,0,YES,,,,YES,NO,YES,,YES,YES,YES,,YES,,,YES,NA,NA,NA,0,7500,100000,1700000,100000,0,4/26/2023 17:12,4/26/2023 18:30
20210306,37456,2021,9/28/2021 12:30,2731,CHEVRON PIPE LINE CO,ST 130,OFFSHORE,,,,29.08900521,-90.19933885,,,,,"""""""""""""""""""""""""""""""""""""""""""""""""OFFSHORE PIPELINE, INCLUDING RISER AND RISER BEND""""""""""""""""""""""""""""""""""""""""""""""""",YES,NO,OTHER OUTSIDE FORCE DAMAGE,"""""""""""""""""""""""""""""""""""""""""""""""""DAMAGE BY BOATS, BARGES, DRILLING RIGS, OR OTHER MARITIME EQUIPMENT OR VESSELS SET ADRIFT OR WHICH HAVE OTHERWISE LOST THEIR MOORING""""""""""""""""""""""""""""""""""""""""""""""""",CRUDE OIL,,,10367,NA,0,12,0.5,35000,GRADE B,1976,CARBON STEEL,,LEAK,YES,,,,,,0,YES,3,1,NA,NA,NA,4,NO,NA,NA,NA,NA,NA,0,YES,,,,NO,NO,NO,,YES,,,,YES,YES,,YES,NA,NA,YES,0,759000,0,1797511,36139,0,9/28/2021 12:30,9/28/2021 16:30
20210137,35960,2021,4/3/21 9:30,18718,SUNOCO PIPELINE L.P.,AMDEL PIPELINE,ONSHORE,TX,BALLINGER,RUNNELS,31.76948,-99.88618,PIPELINE RIGHT-OF-WAY,UNDERGROUND,UNDER SOIL,32,"""""""""""""""""""""""""""""""""""""""""""""""""ONSHORE PIPELINE, INCLUDING VALVE SITES""""""""""""""""""""""""""""""""""""""""""""""""",YES,NO,MATERIAL FAILURE OF PIPE OR WELD,"""""""""""""""""""""""""""""""""""""""""""""""""DESIGN-, CONSTRUCTION-, INSTALLATION-, OR FABRICATION-RELATED""""""""""""""""""""""""""""""""""""""""""""""""",CRUDE OIL,,,1000,NA,1000,NA,,,,UNKNOWN,CARBON STEEL,,LEAK,YES,NO,NO,,,,0,YES,5,NA,NA,NA,NA,5,YES,2,NA,NA,2,NA,4,YES,,,,YES,NO,YES,,YES,YES,,,NO,,,NA,NA,NA,YES,500000,62000,100000,56000,1400000,0,4/3/21 10:30,4/3/21 10:30
20200166,37879,2020,5/7/20 11:33,32334,TC OIL PIPELINE OPERATIONS INC,KEYSTONE PIPELINE,ONSHORE,TX,BEAUMONT,JEFFERSON,29.991468,-94.080399,"""""""""""""""""""""""""""""""""""""""""""""""""ORIGINATED ON OPERATOR-CONTROLLED PROPERTY, BUT THEN FLOWED OR MIGRATED OFF THE PROPERTY""""""""""""""""""""""""""""""""""""""""""""""""",ABOVEGROUND,TYPICAL ABOVEGROUND FACILITY PIPING OR APPURTENANCE,,ONSHORE TERMINAL/TANK FARM EQUIPMENT AND PIPING,YES,YES,CORROSION FAILURE,INTERNAL CORROSION,CRUDE OIL,,,442,NA,442,30,0.5,65000,API 5L PSL2,2014,CARBON STEEL,,LEAK,YES,,,,,,0,YES,1,NA,1,1,NA,3,YES,NA,NA,NA,1,NA,1,NO,,,YES,YES,NO,YES,YES,YES,YES,YES,,YES,,YES,NA,NA,NA,YES,0,1459,220782,989456,2424681,0,5/7/20 11:33,5/7/20 11:33
20190007,32925,2018,12/13/2018 23:41,18092,"""""""""""""""""""""""""""""""""""""""""""""""""SFPP, LP""""""""""""""""""""""""""""""""""""""""""""""""",LS 18 (SECTION OF EL PASO TO TUCSON 12-INCH),ONSHORE,NM,ANTHONY,DONA ANA,32.06156,-106.64945,PIPELINE RIGHT-OF-WAY,TRANSITION AREA,OTHER,,"""""""""""""""""""""""""""""""""""""""""""""""""ONSHORE PIPELINE, INCLUDING VALVE SITES""""""""""""""""""""""""""""""""""""""""""""""""",YES,YES,CORROSION FAILURE,EXTERNAL CORROSION,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,GASOLINE (NON-ETHANOL),,10910,NA,6779,12,0.188,52000,X-52,1964,CARBON STEEL,,RUPTURE,YES,YES,YES,12/13/2018 23:41,,12/20/2018 17:03,8,YES,2,1,NA,NA,NA,3,YES,1,1,NA,NA,NA,2,NO,,,,YES,YES,YES,,YES,YES,YES,,YES,,,NA,YES,NA,YES,373900,761460,436000,1570000,16900000,0,12/14/2018 0:51,12/14/2018 2:05
20180111,31085,2018,3/20/2018 18:21,32147,MARATHON PIPE LINE LLC,"""""""""""""""""""""""""""""""""""""""""""""""""ROBINSON TO MT. VERNON, IN 10"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" PRODUCTS""""""""""""""""""""""""""""""""""""""""""""""""",ONSHORE,IN,SOLITUDE,POSEY,38.015908,-87.893696,PIPELINE RIGHT-OF-WAY,UNDERGROUND,UNDER SOIL,36,"""""""""""""""""""""""""""""""""""""""""""""""""ONSHORE PIPELINE, INCLUDING VALVE SITES""""""""""""""""""""""""""""""""""""""""""""""""",YES,YES,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,"""""""""""""""""""""""""""""""""""""""""""""""""DIESEL, FUEL OIL, KEROSENE, JET FUEL""""""""""""""""""""""""""""""""""""""""""""""""",,1400,NA,1205,10,0.307,42000,API 5L,1951,CARBON STEEL,,RUPTURE,YES,YES,YES,3/20/2018 18:27,,4/7/18 13:10,0,YES,1,NA,1,NA,1,3,YES,2,1,NA,NA,NA,3,NO,,YES,,NO,NO,NO,,,,,,YES,,YES,NA,YES,NA,NA,184000,109339,2648924,3233397,0,0,3/20/2018 18:21,3/20/2018 20:52
20170320,31645,2017,8/31/2017 23:30,31580,"""""""""""""""""""""""""""""""""""""""""""""""""MAGELLAN TERMINALS HOLDINGS, LP""""""""""""""""""""""""""""""""""""""""""""""""",GALENA PARK,ONSHORE,TX,GALENA PARK,HARRIS,29.746557,-95.201172,"""""""""""""""""""""""""""""""""""""""""""""""""ORIGINATED ON OPERATOR-CONTROLLED PROPERTY, BUT THEN FLOWED OR MIGRATED OFF THE PROPERTY""""""""""""""""""""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""""""""""""""""""""TANK, INCLUDING ATTACHED APPURTENANCES""""""""""""""""""""""""""""""""""""""""""""""""",,,"""""""""""""""""""""""""""""""""""""""""""""""""ONSHORE BREAKOUT TANK OR STORAGE VESSEL, INCLUDING ATTACHED APPURTENANCES""""""""""""""""""""""""""""""""""""""""""""""""",YES,YES,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,GASOLINE (NON-ETHANOL),,5716,NA,672,NA,,,,2008,CARBON STEEL,,LEAK,YES,YES,NO,,,,0,YES,1,NA,NA,NA,1,2,YES,4,NA,NA,NA,NA,4,NO,,,,YES,NO,YES,,,YES,,,YES,,YES,NA,YES,NA,NA,0,488354,275593,605000,858717,0,8/31/2017 23:30,9/1/17 0:10
20170321,31646,2017,8/31/2017 23:30,31580,"""""""""""""""""""""""""""""""""""""""""""""""""MAGELLAN TERMINALS HOLDINGS, LP""""""""""""""""""""""""""""""""""""""""""""""""",GALENA PARK,ONSHORE,TX,GALENA PARK,HARRIS,29.745701,-95.201172,"""""""""""""""""""""""""""""""""""""""""""""""""ORIGINATED ON OPERATOR-CONTROLLED PROPERTY, BUT THEN FLOWED OR MIGRATED OFF THE PROPERTY""""""""""""""""""""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""""""""""""""""""""TANK, INCLUDING ATTACHED APPURTENANCES""""""""""""""""""""""""""""""""""""""""""""""""",,,"""""""""""""""""""""""""""""""""""""""""""""""""ONSHORE BREAKOUT TANK OR STORAGE VESSEL, INCLUDING ATTACHED APPURTENANCES""""""""""""""""""""""""""""""""""""""""""""""""",YES,YES,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,GASOLINE (NON-ETHANOL),,5272,NA,672,NA,,,,2008,CARBON STEEL,,LEAK,YES,YES,NO,,,,0,YES,2,NA,1,NA,NA,3,YES,3,NA,NA,NA,1,4,NO,,,YES,NO,NO,YES,,YES,NO,,,YES,,YES,NA,YES,NA,NA,0,496920,271092,605000,858717,0,8/31/2017 23:30,9/1/17 0:10
20160393,22058,2016,10/29/2016 21:21,32288,"""""""""""""""""""""""""""""""""""""""""""""""""WHITE CLIFFS PIPELINE, LLC""""""""""""""""""""""""""""""""""""""""""""""""",WHITE CLIFFS II,ONSHORE,KS,Not Within a Municipality,WALLACE,39.04705,-101.73841,"""""""""""""""""""""""""""""""""""""""""""""""""ORIGINATED ON OPERATOR-CONTROLLED PROPERTY, BUT THEN FLOWED OR MIGRATED OFF THE PROPERTY""""""""""""""""""""""""""""""""""""""""""""""""",ABOVEGROUND,TYPICAL ABOVEGROUND FACILITY PIPING OR APPURTENANCE,,ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,NO,NO,INCORRECT OPERATION,OTHER INCORRECT OPERATION,CRUDE OIL,,,1722,NA,1687,NA,,,,2014,CARBON STEEL,,LEAK,YES,NO,YES,10/31/2016 7:00,,11/2/16 9:19,0,YES,3,2,NA,1,NA,6,YES,2,NA,1,NA,NA,3,NO,YES,,YES,NO,NO,NO,,NO,NO,,,NO,,,NA,YES,NA,NA,0,77490,250000,0,2500000,0,10/31/2016 6:45,10/31/2016 7:38
20160087,21674,2016,2/22/2016 12:25,39149,IMTT-BAYONNE,IMTT-BAYONNE,ONSHORE,NJ,BAYONNE,HUDSON,40.66506,-74.10953,PIPELINE RIGHT-OF-WAY,UNDERGROUND,UNDER SOIL,120,ONSHORE TERMINAL/TANK FARM EQUIPMENT AND PIPING,YES,YES,MATERIAL FAILURE OF PIPE OR WELD,"""""""""""""""""""""""""""""""""""""""""""""""""DESIGN-, CONSTRUCTION-, INSTALLATION-, OR FABRICATION-RELATED""""""""""""""""""""""""""""""""""""""""""""""""",REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,"""""""""""""""""""""""""""""""""""""""""""""""""DIESEL, FUEL OIL, KEROSENE, JET FUEL""""""""""""""""""""""""""""""""""""""""""""""""",,359,NA,300,16,0.375,52000,ERW STEEL LINE PIPE,2015,CARBON STEEL,,MECHANICAL PUNCTURE,YES,NO,NO,,,,0,YES,2,NA,2,NA,NA,4,YES,1,NA,1,NA,1,3,NO,YES,,YES,NO,YES,NO,,NO,,YES,,NO,,,NA,NA,NA,NA,2000000,14903,112565,10000,500000,0,2/22/2016 6:00,3/22/2016 6:30
